,产品1,产品2,关联度
5719,ID294,ID504,1
5720,ID504,ID167,1
5721,ID504,ID294,1
5722,ID23,ID269,1
5723,ID269,ID23,1
5724,ID26,ID86,2
5725,ID26,ID209,2
5726,ID26,ID221,13
5727,ID26,ID294,8
5728,ID26,ID297,8
5729,ID26,ID326,1
5730,ID26,ID344,12
5731,ID26,ID364,14
5732,ID26,ID365,1
5733,ID26,ID373,9
5734,ID26,ID392,1
5735,ID26,ID415,5
5736,ID26,ID440,2
5737,ID26,ID442,2
5738,ID26,ID494,1
5739,ID26,ID509,8
5740,ID86,ID26,2
5741,ID86,ID297,7
5742,ID86,ID365,1
5743,ID86,ID392,3
5744,ID86,ID442,1
5745,ID209,ID26,2
5746,ID209,ID297,6
5747,ID209,ID344,3
5748,ID209,ID365,1
5749,ID209,ID373,1
5750,ID209,ID392,2
5751,ID209,ID415,2
5752,ID209,ID442,1
5753,ID209,ID466,2
5754,ID209,ID509,5
5755,ID221,ID26,13
5756,ID221,ID365,1
5757,ID221,ID442,2
5758,ID294,ID26,8
5759,ID294,ID365,2
5760,ID294,ID373,8
5761,ID294,ID392,3
5762,ID294,ID442,2
5763,ID297,ID26,8
5764,ID297,ID86,7
5765,ID297,ID209,6
5766,ID297,ID326,3
5767,ID297,ID365,3
5768,ID297,ID373,17
5769,ID297,ID392,4
5770,ID297,ID415,9
5771,ID297,ID440,7
5772,ID297,ID442,1
5773,ID297,ID494,2
5774,ID297,ID509,18
5775,ID326,ID26,1
5776,ID326,ID297,3
5777,ID326,ID365,1
5778,ID326,ID392,2
5779,ID326,ID415,2
5780,ID326,ID442,1
5781,ID344,ID26,12
5782,ID344,ID209,3
5783,ID344,ID365,3
5784,ID344,ID392,3
5785,ID344,ID442,1
5786,ID364,ID26,14
5787,ID364,ID365,3
5788,ID364,ID392,4
5789,ID365,ID26,1
5790,ID365,ID86,1
5791,ID365,ID209,1
5792,ID365,ID221,1
5793,ID365,ID294,2
5794,ID365,ID297,3
5795,ID365,ID326,1
5796,ID365,ID344,3
5797,ID365,ID364,3
5798,ID365,ID373,3
5799,ID365,ID392,1
5800,ID365,ID415,2
5801,ID365,ID440,1
5802,ID365,ID442,1
5803,ID365,ID466,4
5804,ID365,ID494,1
5805,ID365,ID509,2
5806,ID373,ID26,9
5807,ID373,ID209,1
5808,ID373,ID294,8
5809,ID373,ID297,17
5810,ID373,ID365,3
5811,ID373,ID442,1
5812,ID392,ID26,1
5813,ID392,ID86,3
5814,ID392,ID209,2
5815,ID392,ID294,3
5816,ID392,ID297,4
5817,ID392,ID326,2
5818,ID392,ID344,3
5819,ID392,ID364,4
5820,ID392,ID365,1
5821,ID392,ID415,3
5822,ID392,ID440,3
5823,ID392,ID442,1
5824,ID392,ID466,5
5825,ID392,ID494,2
5826,ID392,ID509,2
5827,ID415,ID26,5
5828,ID415,ID209,2
5829,ID415,ID297,9
5830,ID415,ID326,2
5831,ID415,ID365,2
5832,ID415,ID392,3
5833,ID415,ID442,1
5834,ID415,ID494,3
5835,ID440,ID26,2
5836,ID440,ID297,7
5837,ID440,ID365,1
5838,ID440,ID392,3
5839,ID440,ID442,1
5840,ID442,ID26,2
5841,ID442,ID86,1
5842,ID442,ID209,1
5843,ID442,ID221,2
5844,ID442,ID294,2
5845,ID442,ID297,1
5846,ID442,ID326,1
5847,ID442,ID344,1
5848,ID442,ID365,1
5849,ID442,ID373,1
5850,ID442,ID392,1
5851,ID442,ID415,1
5852,ID442,ID440,1
5853,ID442,ID466,2
5854,ID442,ID494,1
5855,ID442,ID509,2
5856,ID466,ID209,2
5857,ID466,ID365,4
5858,ID466,ID392,5
5859,ID466,ID442,2
5860,ID494,ID26,1
5861,ID494,ID297,2
5862,ID494,ID365,1
5863,ID494,ID392,2
5864,ID494,ID415,3
5865,ID494,ID442,1
5866,ID509,ID26,8
5867,ID509,ID209,5
5868,ID509,ID297,18
5869,ID509,ID365,2
5870,ID509,ID392,2
5871,ID509,ID442,2
5872,ID81,ID415,1
5873,ID415,ID81,1
5874,ID297,ID391,4
5875,ID379,ID391,5
5876,ID379,ID491,4
5877,ID391,ID297,4
5878,ID391,ID379,5
5879,ID391,ID491,2
5880,ID491,ID379,4
5881,ID491,ID391,2
5882,ID97,ID391,20
5883,ID391,ID97,20
5884,ID391,ID401,1
5885,ID391,ID409,2
5886,ID401,ID391,1
5887,ID409,ID391,2
5888,ID167,ID287,1
5889,ID167,ID318,3
5890,ID287,ID167,1
5891,ID318,ID167,3
5892,ID61,ID103,1
5893,ID61,ID341,1
5894,ID103,ID61,1
5895,ID103,ID341,2
5896,ID341,ID61,1
5897,ID341,ID103,2
5898,ID285,ID294,3
5899,ID285,ID501,2
5900,ID294,ID285,3
5901,ID501,ID285,2
5902,ID220,ID372,1
5903,ID372,ID220,1
5904,ID283,ID395,6
5905,ID289,ID395,3
5906,ID395,ID283,6
5907,ID395,ID289,3
5908,ID113,ID324,1
5909,ID324,ID113,1
5910,ID322,ID395,2
5911,ID395,ID322,2
5912,ID221,ID309,3
5913,ID309,ID221,3
5914,ID309,ID394,4
5915,ID394,ID309,4
5916,ID190,ID373,1
5917,ID373,ID190,1
5918,ID373,ID507,1
5919,ID507,ID373,1
5920,ID7,ID283,16
5921,ID7,ID289,13
5922,ID283,ID7,16
5923,ID289,ID7,13
5924,ID256,ID355,1
5925,ID256,ID394,6
5926,ID355,ID256,1
5927,ID355,ID373,1
5928,ID355,ID394,1
5929,ID373,ID355,1
5930,ID394,ID256,6
5931,ID394,ID355,1
5932,ID285,ID454,16
5933,ID344,ID501,3
5934,ID454,ID285,16
5935,ID454,ID501,3
5936,ID501,ID344,3
5937,ID501,ID454,3
5938,ID7,ID264,19
5939,ID7,ID379,16
5940,ID7,ID431,4
5941,ID264,ID7,19
5942,ID264,ID283,5
5943,ID264,ID289,4
5944,ID264,ID379,3
5945,ID264,ID429,5
5946,ID264,ID431,2
5947,ID283,ID264,5
5948,ID283,ID373,4
5949,ID283,ID379,10
5950,ID283,ID429,1
5951,ID289,ID264,4
5952,ID289,ID373,4
5953,ID289,ID379,6
5954,ID289,ID429,1
5955,ID373,ID283,4
5956,ID373,ID289,4
5957,ID373,ID379,6
5958,ID373,ID429,2
5959,ID373,ID431,1
5960,ID379,ID7,16
5961,ID379,ID264,3
5962,ID379,ID283,10
5963,ID379,ID289,6
5964,ID379,ID373,6
5965,ID379,ID429,3
5966,ID379,ID431,5
5967,ID379,ID487,24
5968,ID429,ID264,5
5969,ID429,ID283,1
5970,ID429,ID289,1
5971,ID429,ID373,2
5972,ID429,ID379,3
5973,ID429,ID431,1
5974,ID429,ID487,9
5975,ID431,ID7,4
5976,ID431,ID264,2
5977,ID431,ID373,1
5978,ID431,ID379,5
5979,ID431,ID429,1
5980,ID487,ID379,24
5981,ID487,ID429,9
5982,ID98,ID455,1
5983,ID192,ID455,1
5984,ID455,ID98,1
5985,ID455,ID192,1
5986,ID220,ID269,2
5987,ID220,ID294,2
5988,ID269,ID220,2
5989,ID269,ID501,4
5990,ID294,ID220,2
5991,ID501,ID269,4
5992,ID64,ID182,1
5993,ID64,ID447,1
5994,ID182,ID64,1
5995,ID182,ID341,1
5996,ID341,ID182,1
5997,ID447,ID64,1
5998,ID118,ID511,1
5999,ID511,ID118,1
6000,ID279,ID286,33
6001,ID279,ID390,36
6002,ID286,ID279,33
6003,ID286,ID390,33
6004,ID390,ID279,36
6005,ID390,ID286,33
6006,ID363,ID394,4
6007,ID394,ID363,4
6008,ID64,ID279,3
6009,ID64,ID286,3
6010,ID64,ID390,3
6011,ID64,ID395,8
6012,ID249,ID279,6
6013,ID249,ID286,4
6014,ID249,ID390,5
6015,ID279,ID64,3
6016,ID279,ID249,6
6017,ID279,ID395,12
6018,ID286,ID64,3
6019,ID286,ID249,4
6020,ID286,ID395,1
6021,ID390,ID64,3
6022,ID390,ID249,5
6023,ID390,ID395,3
6024,ID395,ID64,8
6025,ID395,ID279,12
6026,ID395,ID286,1
6027,ID395,ID390,3
6028,ID7,ID401,2
6029,ID7,ID409,4
6030,ID97,ID248,13
6031,ID248,ID97,13
6032,ID248,ID373,10
6033,ID248,ID401,2
6034,ID248,ID409,3
6035,ID373,ID248,10
6036,ID373,ID401,3
6037,ID373,ID409,5
6038,ID401,ID7,2
6039,ID401,ID248,2
6040,ID401,ID373,3
6041,ID409,ID7,4
6042,ID409,ID248,3
6043,ID409,ID373,5
6044,ID104,ID344,2
6045,ID344,ID104,2
6046,ID122,ID208,1
6047,ID122,ID269,6
6048,ID122,ID341,4
6049,ID122,ID487,9
6050,ID208,ID122,1
6051,ID208,ID269,1
6052,ID208,ID487,3
6053,ID269,ID122,6
6054,ID269,ID208,1
6055,ID269,ID487,28
6056,ID341,ID122,4
6057,ID487,ID122,9
6058,ID487,ID208,3
6059,ID487,ID269,28
6060,ID69,ID144,3
6061,ID69,ID487,18
6062,ID144,ID69,3
6063,ID487,ID69,18
6064,ID98,ID160,17
6065,ID98,ID381,2
6066,ID160,ID98,17
6067,ID381,ID98,2
6068,ID64,ID221,11
6069,ID64,ID248,5
6070,ID64,ID381,1
6071,ID221,ID64,11
6072,ID221,ID248,19
6073,ID248,ID64,5
6074,ID248,ID221,19
6075,ID248,ID381,1
6076,ID381,ID64,1
6077,ID381,ID248,1
6078,ID64,ID97,4
6079,ID64,ID401,1
6080,ID64,ID409,1
6081,ID97,ID64,4
6082,ID401,ID64,1
6083,ID409,ID64,1
6084,ID29,ID97,2
6085,ID29,ID401,1
6086,ID29,ID409,1
6087,ID97,ID29,2
6088,ID401,ID29,1
6089,ID409,ID29,1
6090,ID203,ID333,7
6091,ID203,ID488,1
6092,ID333,ID203,7
6093,ID333,ID395,8
6094,ID333,ID488,1
6095,ID395,ID333,8
6096,ID395,ID488,1
6097,ID488,ID203,1
6098,ID488,ID333,1
6099,ID488,ID395,1
6100,ID373,ID488,1
6101,ID488,ID373,1
6102,ID24,ID373,1
6103,ID373,ID24,1
6104,ID373,ID504,1
6105,ID504,ID373,1
6106,ID179,ID203,6
6107,ID179,ID285,3
6108,ID179,ID294,12
6109,ID179,ID309,3
6110,ID179,ID510,2
6111,ID203,ID179,6
6112,ID203,ID285,6
6113,ID203,ID510,2
6114,ID285,ID179,3
6115,ID285,ID203,6
6116,ID285,ID297,7
6117,ID285,ID309,1
6118,ID285,ID510,1
6119,ID294,ID179,12
6120,ID294,ID510,1
6121,ID297,ID285,7
6122,ID297,ID309,10
6123,ID297,ID510,1
6124,ID309,ID179,3
6125,ID309,ID285,1
6126,ID309,ID297,10
6127,ID309,ID373,4
6128,ID309,ID510,1
6129,ID373,ID309,4
6130,ID373,ID510,1
6131,ID454,ID510,2
6132,ID510,ID179,2
6133,ID510,ID203,2
6134,ID510,ID285,1
6135,ID510,ID294,1
6136,ID510,ID297,1
6137,ID510,ID309,1
6138,ID510,ID373,1
6139,ID510,ID454,2
6140,ID75,ID355,1
6141,ID355,ID75,1
6142,ID81,ID179,1
6143,ID81,ID364,1
6144,ID179,ID81,1
6145,ID364,ID81,1
6146,ID167,ID220,1
6147,ID167,ID431,1
6148,ID220,ID167,1
6149,ID220,ID431,1
6150,ID344,ID431,1
6151,ID431,ID167,1
6152,ID431,ID220,1
6153,ID431,ID344,1
6154,ID234,ID309,1
6155,ID309,ID234,1
6156,ID252,ID352,1
6157,ID252,ID364,9
6158,ID352,ID252,1
6159,ID364,ID252,9
6160,ID5,ID160,7
6161,ID86,ID160,9
6162,ID160,ID5,7
6163,ID160,ID86,9
6164,ID160,ID440,9
6165,ID440,ID160,9
6166,ID262,ID394,2
6167,ID379,ID394,8
6168,ID394,ID262,2
6169,ID394,ID379,8
6170,ID343,ID394,4
6171,ID394,ID343,4
6172,ID111,ID269,5
6173,ID111,ID327,2
6174,ID111,ID373,3
6175,ID269,ID111,5
6176,ID269,ID327,2
6177,ID327,ID111,2
6178,ID327,ID269,2
6179,ID327,ID373,2
6180,ID373,ID111,3
6181,ID373,ID327,2
6182,ID373,ID491,2
6183,ID491,ID373,2
6184,ID221,ID362,1
6185,ID362,ID221,1
6186,ID362,ID364,1
6187,ID364,ID362,1
6188,ID153,ID371,1
6189,ID371,ID153,1
6190,ID26,ID160,8
6191,ID26,ID167,8
6192,ID26,ID207,2
6193,ID26,ID395,9
6194,ID26,ID443,8
6195,ID26,ID451,10
6196,ID160,ID26,8
6197,ID167,ID26,8
6198,ID167,ID451,12
6199,ID207,ID26,2
6200,ID207,ID364,5
6201,ID207,ID395,3
6202,ID364,ID207,5
6203,ID395,ID26,9
6204,ID395,ID207,3
6205,ID395,ID443,18
6206,ID443,ID26,8
6207,ID443,ID395,18
6208,ID451,ID26,10
6209,ID451,ID167,12
6210,ID159,ID373,1
6211,ID373,ID159,1
6212,ID373,ID382,1
6213,ID382,ID373,1
6214,ID456,ID500,1
6215,ID500,ID456,1
6216,ID31,ID111,3
6217,ID31,ID209,1
6218,ID59,ID111,3
6219,ID59,ID209,1
6220,ID111,ID31,3
6221,ID111,ID59,3
6222,ID111,ID448,1
6223,ID209,ID31,1
6224,ID209,ID59,1
6225,ID209,ID448,1
6226,ID448,ID111,1
6227,ID448,ID209,1
6228,ID287,ID466,2
6229,ID318,ID466,4
6230,ID466,ID287,2
6231,ID466,ID318,4
6232,ID373,ID378,1
6233,ID378,ID373,1
6234,ID230,ID414,2
6235,ID318,ID414,6
6236,ID414,ID230,2
6237,ID414,ID318,6
6238,ID7,ID111,11
6239,ID7,ID113,11
6240,ID111,ID7,11
6241,ID111,ID113,2
6242,ID111,ID160,2
6243,ID111,ID207,1
6244,ID111,ID443,4
6245,ID113,ID7,11
6246,ID113,ID111,2
6247,ID113,ID207,1
6248,ID113,ID443,5
6249,ID160,ID111,2
6250,ID207,ID111,1
6251,ID207,ID113,1
6252,ID443,ID111,4
6253,ID443,ID113,5
6254,ID279,ID373,9
6255,ID286,ID373,3
6256,ID373,ID279,9
6257,ID373,ID286,3
6258,ID373,ID390,3
6259,ID390,ID373,3
6260,ID207,ID466,1
6261,ID443,ID466,13
6262,ID466,ID207,1
6263,ID466,ID443,13
6264,ID72,ID97,1
6265,ID72,ID401,1
6266,ID72,ID409,1
6267,ID97,ID72,1
6268,ID401,ID72,1
6269,ID409,ID72,1
6270,ID232,ID395,3
6271,ID232,ID454,4
6272,ID395,ID232,3
6273,ID454,ID232,4
6274,ID232,ID373,4
6275,ID373,ID232,4
6276,ID144,ID415,2
6277,ID415,ID144,2
6278,ID98,ID207,2
6279,ID98,ID443,7
6280,ID207,ID98,2
6281,ID207,ID487,6
6282,ID443,ID98,7
6283,ID487,ID207,6
6284,ID373,ID486,1
6285,ID486,ID373,1
6286,ID275,ID373,1
6287,ID373,ID275,1
6288,ID89,ID373,1
6289,ID373,ID89,1
6290,ID230,ID373,4
6291,ID318,ID373,6
6292,ID373,ID230,4
6293,ID373,ID318,6
6294,ID341,ID379,9
6295,ID341,ID464,1
6296,ID379,ID341,9
6297,ID464,ID341,1
6298,ID183,ID491,1
6299,ID491,ID183,1
6300,ID378,ID392,1
6301,ID392,ID378,1
6302,ID98,ID275,1
6303,ID98,ID297,15
6304,ID275,ID98,1
6305,ID297,ID98,15
6306,ID144,ID373,3
6307,ID373,ID144,3
6308,ID97,ID264,8
6309,ID264,ID97,8
6310,ID264,ID401,2
6311,ID264,ID409,2
6312,ID401,ID264,2
6313,ID409,ID264,2
6314,ID279,ID415,3
6315,ID286,ID415,2
6316,ID390,ID415,2
6317,ID415,ID279,3
6318,ID415,ID286,2
6319,ID415,ID390,2
6320,ID144,ID283,1
6321,ID144,ID289,1
6322,ID283,ID144,1
6323,ID289,ID144,1
6324,ID7,ID309,4
6325,ID309,ID7,4
6326,ID167,ID322,1
6327,ID322,ID167,1
6328,ID207,ID392,1
6329,ID392,ID207,1
6330,ID392,ID443,2
6331,ID443,ID392,2
6332,ID98,ID220,2
6333,ID98,ID294,5
6334,ID149,ID220,2
6335,ID220,ID98,2
6336,ID220,ID149,2
6337,ID220,ID454,2
6338,ID294,ID98,5
6339,ID454,ID220,2
6340,ID72,ID112,1
6341,ID72,ID203,2
6342,ID112,ID72,1
6343,ID203,ID72,2
6344,ID387,ID394,7
6345,ID387,ID395,6
6346,ID394,ID387,7
6347,ID395,ID387,6
6348,ID7,ID279,22
6349,ID7,ID286,2
6350,ID7,ID390,3
6351,ID279,ID7,22
6352,ID286,ID7,2
6353,ID390,ID7,3
6354,ID160,ID371,10
6355,ID160,ID455,2
6356,ID203,ID371,11
6357,ID203,ID455,1
6358,ID232,ID371,3
6359,ID232,ID455,1
6360,ID371,ID160,10
6361,ID371,ID203,11
6362,ID371,ID232,3
6363,ID371,ID455,1
6364,ID455,ID160,2
6365,ID455,ID203,1
6366,ID455,ID232,1
6367,ID455,ID371,1
6368,ID394,ID499,1
6369,ID499,ID394,1
6370,ID212,ID279,1
6371,ID212,ID286,1
6372,ID212,ID390,1
6373,ID212,ID394,1
6374,ID279,ID212,1
6375,ID279,ID394,11
6376,ID286,ID212,1
6377,ID286,ID394,3
6378,ID390,ID212,1
6379,ID390,ID394,4
6380,ID394,ID212,1
6381,ID394,ID279,11
6382,ID394,ID286,3
6383,ID394,ID390,4
6384,ID86,ID207,1
6385,ID86,ID443,4
6386,ID207,ID86,1
6387,ID207,ID440,1
6388,ID440,ID207,1
6389,ID440,ID443,4
6390,ID443,ID86,4
6391,ID443,ID440,4
6392,ID392,ID427,1
6393,ID427,ID392,1
6394,ID256,ID341,7
6395,ID256,ID491,1
6396,ID341,ID256,7
6397,ID341,ID491,4
6398,ID491,ID256,1
6399,ID491,ID341,4
6400,ID71,ID217,2
6401,ID71,ID299,4
6402,ID217,ID71,2
6403,ID217,ID221,1
6404,ID217,ID297,1
6405,ID217,ID299,1
6406,ID221,ID217,1
6407,ID297,ID217,1
6408,ID299,ID71,4
6409,ID299,ID217,1
6410,ID21,ID160,23
6411,ID21,ID203,13
6412,ID21,ID232,2
6413,ID160,ID21,23
6414,ID203,ID21,13
6415,ID232,ID21,2
6416,ID309,ID396,1
6417,ID396,ID309,1
6418,ID98,ID322,3
6419,ID322,ID98,3
6420,ID322,ID344,1
6421,ID322,ID415,1
6422,ID344,ID322,1
6423,ID415,ID322,1
6424,ID54,ID167,14
6425,ID141,ID167,8
6426,ID167,ID54,14
6427,ID167,ID141,8
6428,ID40,ID64,3
6429,ID40,ID248,7
6430,ID40,ID249,12
6431,ID40,ID279,3
6432,ID40,ID286,2
6433,ID40,ID341,10
6434,ID40,ID390,3
6435,ID40,ID414,3
6436,ID64,ID40,3
6437,ID64,ID414,5
6438,ID248,ID40,7
6439,ID248,ID249,7
6440,ID248,ID279,11
6441,ID248,ID286,1
6442,ID248,ID390,2
6443,ID248,ID414,5
6444,ID249,ID40,12
6445,ID249,ID248,7
6446,ID249,ID414,2
6447,ID279,ID40,3
6448,ID279,ID248,11
6449,ID279,ID341,13
6450,ID279,ID414,1
6451,ID286,ID40,2
6452,ID286,ID248,1
6453,ID286,ID341,2
6454,ID286,ID414,1
6455,ID286,ID454,2
6456,ID286,ID487,1
6457,ID341,ID40,10
6458,ID341,ID279,13
6459,ID341,ID286,2
6460,ID341,ID390,3
6461,ID390,ID40,3
6462,ID390,ID248,2
6463,ID390,ID341,3
6464,ID390,ID414,1
6465,ID390,ID454,4
6466,ID390,ID487,3
6467,ID414,ID40,3
6468,ID414,ID64,5
6469,ID414,ID248,5
6470,ID414,ID249,2
6471,ID414,ID279,1
6472,ID414,ID286,1
6473,ID414,ID390,1
6474,ID454,ID286,2
6475,ID454,ID390,4
6476,ID487,ID286,1
6477,ID487,ID390,3
6478,ID211,ID249,1
6479,ID249,ID211,1
6480,ID287,ID451,2
6481,ID318,ID451,3
6482,ID451,ID287,2
6483,ID451,ID318,3
6484,ID144,ID428,1
6485,ID428,ID144,1
6486,ID428,ID487,15
6487,ID487,ID428,15
6488,ID7,ID141,13
6489,ID7,ID356,15
6490,ID7,ID387,9
6491,ID21,ID141,13
6492,ID21,ID167,21
6493,ID21,ID221,28
6494,ID21,ID294,11
6495,ID21,ID356,12
6496,ID21,ID381,1
6497,ID21,ID387,6
6498,ID21,ID443,21
6499,ID54,ID92,7
6500,ID54,ID160,12
6501,ID54,ID294,6
6502,ID54,ID356,10
6503,ID54,ID381,1
6504,ID54,ID387,3
6505,ID54,ID443,10
6506,ID92,ID54,7
6507,ID92,ID141,4
6508,ID92,ID160,10
6509,ID92,ID167,8
6510,ID92,ID221,11
6511,ID92,ID294,4
6512,ID92,ID356,4
6513,ID92,ID381,1
6514,ID92,ID387,4
6515,ID92,ID443,7
6516,ID141,ID7,13
6517,ID141,ID21,13
6518,ID141,ID92,4
6519,ID141,ID160,4
6520,ID141,ID221,6
6521,ID141,ID294,3
6522,ID141,ID356,4
6523,ID141,ID381,1
6524,ID141,ID387,1
6525,ID141,ID443,3
6526,ID141,ID454,8
6527,ID141,ID487,15
6528,ID160,ID54,12
6529,ID160,ID92,10
6530,ID160,ID141,4
6531,ID167,ID21,21
6532,ID167,ID92,8
6533,ID167,ID356,5
6534,ID221,ID21,28
6535,ID221,ID92,11
6536,ID221,ID141,6
6537,ID221,ID356,10
6538,ID294,ID21,11
6539,ID294,ID54,6
6540,ID294,ID92,4
6541,ID294,ID141,3
6542,ID294,ID356,2
6543,ID356,ID7,15
6544,ID356,ID21,12
6545,ID356,ID54,10
6546,ID356,ID92,4
6547,ID356,ID141,4
6548,ID356,ID167,5
6549,ID356,ID221,10
6550,ID356,ID294,2
6551,ID356,ID381,1
6552,ID356,ID387,2
6553,ID356,ID454,13
6554,ID356,ID487,29
6555,ID381,ID21,1
6556,ID381,ID54,1
6557,ID381,ID92,1
6558,ID381,ID141,1
6559,ID381,ID356,1
6560,ID381,ID387,1
6561,ID387,ID7,9
6562,ID387,ID21,6
6563,ID387,ID54,3
6564,ID387,ID92,4
6565,ID387,ID141,1
6566,ID387,ID356,2
6567,ID387,ID381,1
6568,ID443,ID21,21
6569,ID443,ID54,10
6570,ID443,ID92,7
6571,ID443,ID141,3
6572,ID454,ID141,8
6573,ID454,ID356,13
6574,ID487,ID141,15
6575,ID487,ID356,29
6576,ID97,ID103,2
6577,ID103,ID97,2
6578,ID103,ID401,1
6579,ID103,ID409,1
6580,ID401,ID103,1
6581,ID409,ID103,1
6582,ID247,ID394,1
6583,ID394,ID247,1
6584,ID336,ID436,7
6585,ID402,ID436,7
6586,ID436,ID336,7
6587,ID436,ID402,7
6588,ID167,ID486,2
6589,ID486,ID167,2
6590,ID394,ID453,1
6591,ID453,ID394,1
6592,ID233,ID249,2
6593,ID249,ID233,2
6594,ID167,ID309,2
6595,ID309,ID167,2
6596,ID249,ID373,8
6597,ID373,ID249,8
6598,ID456,ID491,1
6599,ID491,ID456,1
6600,ID491,ID509,2
6601,ID509,ID491,2
6602,ID71,ID269,10
6603,ID71,ID309,4
6604,ID71,ID509,7
6605,ID269,ID71,10
6606,ID309,ID71,4
6607,ID509,ID71,7
6608,ID70,ID71,3
6609,ID70,ID269,1
6610,ID70,ID299,1
6611,ID70,ID309,1
6612,ID70,ID373,3
6613,ID71,ID70,3
6614,ID269,ID70,1
6615,ID294,ID299,2
6616,ID299,ID70,1
6617,ID299,ID294,2
6618,ID299,ID373,3
6619,ID309,ID70,1
6620,ID373,ID70,3
6621,ID373,ID299,3
6622,ID394,ID401,1
6623,ID394,ID409,2
6624,ID401,ID394,1
6625,ID409,ID394,2
6626,ID294,ID327,1
6627,ID327,ID294,1
6628,ID7,ID39,18
6629,ID7,ID237,5
6630,ID7,ID411,2
6631,ID39,ID7,18
6632,ID237,ID7,5
6633,ID237,ID411,1
6634,ID411,ID7,2
6635,ID411,ID237,1
6636,ID199,ID249,4
6637,ID199,ID434,4
6638,ID249,ID199,4
6639,ID249,ID434,4
6640,ID434,ID199,4
6641,ID434,ID249,4
6642,ID20,ID112,1
6643,ID20,ID203,1
6644,ID20,ID341,4
6645,ID20,ID395,2
6646,ID112,ID20,1
6647,ID112,ID341,2
6648,ID112,ID395,1
6649,ID203,ID20,1
6650,ID341,ID20,4
6651,ID341,ID112,2
6652,ID395,ID20,2
6653,ID395,ID112,1
6654,ID7,ID26,14
6655,ID7,ID137,7
6656,ID7,ID425,6
6657,ID21,ID101,9
6658,ID21,ID137,4
6659,ID21,ID344,28
6660,ID21,ID425,6
6661,ID26,ID7,14
6662,ID26,ID98,6
6663,ID26,ID101,3
6664,ID26,ID137,3
6665,ID26,ID341,11
6666,ID26,ID425,5
6667,ID92,ID98,3
6668,ID92,ID137,4
6669,ID92,ID341,7
6670,ID92,ID373,4
6671,ID92,ID425,5
6672,ID98,ID26,6
6673,ID98,ID92,3
6674,ID98,ID101,4
6675,ID98,ID137,1
6676,ID98,ID425,3
6677,ID101,ID21,9
6678,ID101,ID26,3
6679,ID101,ID98,4
6680,ID101,ID137,2
6681,ID101,ID373,2
6682,ID101,ID425,3
6683,ID137,ID7,7
6684,ID137,ID21,4
6685,ID137,ID26,3
6686,ID137,ID92,4
6687,ID137,ID98,1
6688,ID137,ID101,2
6689,ID137,ID341,4
6690,ID137,ID344,6
6691,ID137,ID364,5
6692,ID137,ID373,2
6693,ID137,ID425,1
6694,ID137,ID487,7
6695,ID341,ID26,11
6696,ID341,ID92,7
6697,ID341,ID137,4
6698,ID341,ID425,5
6699,ID344,ID21,28
6700,ID344,ID137,6
6701,ID364,ID137,5
6702,ID373,ID92,4
6703,ID373,ID101,2
6704,ID373,ID137,2
6705,ID425,ID7,6
6706,ID425,ID21,6
6707,ID425,ID26,5
6708,ID425,ID92,5
6709,ID425,ID98,3
6710,ID425,ID101,3
6711,ID425,ID137,1
6712,ID425,ID341,5
6713,ID425,ID487,8
6714,ID487,ID137,7
6715,ID487,ID425,8
6716,ID81,ID149,2
6717,ID149,ID81,2
6718,ID98,ID167,7
6719,ID98,ID279,5
6720,ID149,ID279,8
6721,ID167,ID98,7
6722,ID167,ID279,1
6723,ID279,ID98,5
6724,ID279,ID149,8
6725,ID279,ID167,1
6726,ID279,ID381,1
6727,ID279,ID443,3
6728,ID381,ID279,1
6729,ID443,ID279,3
6730,ID7,ID38,3
6731,ID7,ID285,12
6732,ID7,ID353,3
6733,ID7,ID370,3
6734,ID7,ID430,9
6735,ID38,ID7,3
6736,ID38,ID97,2
6737,ID38,ID160,1
6738,ID38,ID264,2
6739,ID38,ID285,1
6740,ID38,ID341,3
6741,ID38,ID353,1
6742,ID38,ID370,1
6743,ID38,ID401,1
6744,ID38,ID409,1
6745,ID38,ID430,1
6746,ID38,ID487,2
6747,ID97,ID38,2
6748,ID97,ID285,15
6749,ID97,ID430,7
6750,ID160,ID38,1
6751,ID160,ID264,8
6752,ID160,ID285,7
6753,ID160,ID353,1
6754,ID160,ID401,1
6755,ID160,ID409,2
6756,ID160,ID430,4
6757,ID264,ID38,2
6758,ID264,ID160,8
6759,ID264,ID285,4
6760,ID264,ID341,12
6761,ID264,ID353,2
6762,ID264,ID370,2
6763,ID264,ID430,4
6764,ID285,ID7,12
6765,ID285,ID38,1
6766,ID285,ID97,15
6767,ID285,ID160,7
6768,ID285,ID264,4
6769,ID285,ID341,6
6770,ID285,ID353,2
6771,ID285,ID370,21
6772,ID285,ID401,1
6773,ID285,ID409,6
6774,ID285,ID430,4
6775,ID285,ID487,28
6776,ID341,ID38,3
6777,ID341,ID264,12
6778,ID341,ID285,6
6779,ID341,ID353,1
6780,ID341,ID430,5
6781,ID353,ID7,3
6782,ID353,ID38,1
6783,ID353,ID160,1
6784,ID353,ID264,2
6785,ID353,ID285,2
6786,ID353,ID341,1
6787,ID353,ID370,1
6788,ID353,ID430,2
6789,ID353,ID487,4
6790,ID370,ID7,3
6791,ID370,ID38,1
6792,ID370,ID264,2
6793,ID370,ID285,21
